Название,Активность,ID,Внешний код,Основное изображение (новый),Основное изображение
"Рейлинг правый к кровати RS104B, RS104H, RS105B, RS105C, RS112A, RS106B, RS105D, RS101F, RS201, RS301",Да,40712,ba29b226-6705-11e3-93fd-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/zapchasti/Медицинская мебель и сопутствующие товары/Кровати механические/RS105-B/рейлинг боковой правый RS105B.jpg
Плата индикации времени для рециркулятора СН******,Да,40714,c0bb1d70-7b4b-11e3-93ff-b8ca3aeddcd3,,https://www.armed.ru/images/catalog/zapchasti/рециркулятор/СН111-115 металл/плата индикации времени.jpg
Педаль к отсасывателю,Да,40717,2f3c8940-834b-11e3-9402-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/zapchasti/otsasyvateli/pedal k otsasyvatelyu.jpg
Подножка правая для кресла-коляски Н035,Да,40720,24f0d85c-8fbb-11e3-9402-b8ca3aeddcd4,,
"Распылитель к коктейлеру Снупи, Пингвин, Семейный, LDPE BAG (белый)",Да,40721,64398d35-8fca-11e3-9402-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/zapchasti/коктейлеры/raspylitel-k-kokteyleru.jpg
плата управления для рециркулятора СН2-15M,Да,40799,517ea6dd-5e14-11e2-8101-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/рециркулятор/211-115/01 ПЛАТА УПРАВЛЕНИЯ ДЛЯ РЕЦИРКУЛЯТОРА CH2-15M.jpg
Плата блока питания к дозатору шприцевому для внутривенного вливания MP-2003,Да,40800,6b364dda-616f-11e2-8101-00259018c255,,
Панель управления к дозатору шприцевому для внутривенного вливания MP-2003,Да,40801,6b364ddc-616f-11e2-8101-00259018c255,,
Плата блока питания к центрифуге 80-2S,Да,40804,6e16840d-66b1-11e2-8101-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/центрифуги/plata-bloka-pitaniya-k-80-2S.jpg
"Медицинский многофункциональный операционный стол ""Armed"" ST-I",Да,40805,b7c2273a-6910-11e2-8101-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/1/Oper stol/ST-I/1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/Oper stol/ST-I/1.jpg
Рычаг ручного управления к дозатору шприцевому для внутривенного вливания MP-2003,Да,40810,c55d0523-69da-11e2-8101-00259018c255,,
"Подголовник М00152 т.м. ""Armed""",Да,40851,4a7d1243-1769-11e2-8033-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/4/podgolovnik/m00152/fr/DSCF1199.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/podgolovnik/m00152/fr/DSCF1199.jpg
Подножка правая к коляске H 011А,Да,41098,66e22721-8d4c-11e2-8b31-00259018c255,,
Подножка левая к коляске H 011А,Да,41099,66e22723-8d4c-11e2-8b31-00259018c255,,
плата управления сенсорная 6612,Да,41100,7d2a1a06-8d51-11e2-8b31-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Светильники/6612/плата управления к светильнику 6612 сенсорная.jpg
Сиденье к креслу-коляске Н 009В,Да,41104,1a3031b4-905b-11e2-8b31-00259018c255,,
"Матрац противопролежневый ""АРМЕД"" СМ1 (Н)",Да,53803,806bdb8f-da5e-11e7-80ce-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/СМ (1)/СМ(1).jpg
"Стойка для установки облучателя-рециркулятора, модель СПР-2",Да,54422,c426820a-cf60-11e7-80ce-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/СПР-2/SPR-2_osn.jpg
"Стойка для установки облучателя-рециркулятора, модель СПР-3",Да,54423,d7f00403-cf60-11e7-80ce-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/Спя-5/Спя-5.jpg
"Палки для скандинавской ходьбы т.м. ""Armed"": STC036",Да,54425,6488a8b1-0060-11e8-80d1-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/3/Palki dlya skand hodbu/STC036/STC036_osn.jpg
"Стойка подкатная, модель СПП-1",Да,54435,76242024-ff5a-11e7-80d1-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Sopyt tovar/Stoika CPP-1/SPP-1_osn.jpg
"Изделие мебельное: сиденье для ванной ""Armed"": FS7933A",Да,54470,fb3f41e7-e0a3-11e7-80cf-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Krovat/нет фото.jpg
"Средство реабилитации инвалидов: костыли ""Armed"" FS925L (размер M) (с УПС)",Да,40668,7a4602ca-3f7f-44af-8f53-688592921bce,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS925L/1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS925L/1.jpg
Лампа накаливания вольфрамовая (синяя) (60 Вт),Да,40669,0f8a95e2-755c-4154-8fbe-ae6682d38ac9,https://www.armed.ru/images/catalog/FOTO mini/white/4/sinya lampa/DSCF9122.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/sinya lampa/DSCF9122.jpg
"Кресло-коляска для инвалидов ""Armed"" FS985LBJ",Да,40672,0fd1fbcd-62ed-4b42-8ff0-23633335e460,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS985LHPQ/FS985LHPQ.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS985LHPQ/FS985LBJ_osn.jpg
Кровать функциональная электрическая Armed с принадлежностями RS300,Да,40675,d7d8137f-554b-492a-90a1-9d83757762f7,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Krovat/RS300/RS_300.jpg
"Средство реабилитации инвалидов: костыли ""Armed"" FS925L (размер S) (с УПС)",Да,40676,37cbc228-d11c-43b9-90a2-9804fd92e5e9,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS925L/1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS925L/1.jpg
"Кресло-коляска для инвалидов ""Armed"" FS958LBHP",Да,40678,0b07bc4f-2808-49a5-90dd-ad902b05feb2,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS958LBHP/FS958LBHP.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS958LBHP/FS958LBHP_osn.jpg
"Средство реабилитации инвалидов: кресло-туалет ""Armed"" FS899",Да,40679,045f2c31-de65-490d-9131-16601eb60547,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS899/туалет 1 008.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS899/туалет 1 008.jpg
Кровать функциональная электрическая Armed с принадлежностями RS800,Да,40680,5969898d-7bfa-48af-914e-f1d301475a7c,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Krovat/RS800.jpg
"Коктейлер (сосуд) кислородный ""Armed"" ""Семейный""",Да,40682,791bc40c-1336-4e70-9178-aac95ba4812f,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Kokteiler/Semeinyi/Семейный.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Kokteiler/Semeinyi/Semeinui_osn.jpg
Кресло-коляска для инвалидов Armed FS872LH,Да,40683,ed2e8055-0b76-4a4c-9206-55850d7d6d23,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS872LH/872_.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS872LH/872_.jpg
Кресло-коляска для инвалидов H 030C,Да,40684,ef6450e1-42c0-11e2-9291-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H030C/H_030C_.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H030C/H_030C_.jpg
Вакуумметр на отсасыватель 7Е,Да,40689,65755b3a-3c71-11e3-93f6-b8ca3aeddcd4,,
Актуатор к RS101-F 150х325,Да,40690,a1231f74-3c77-11e3-93f6-b8ca3aeddcd4,,
Кресло-коляска для инвалидов 4000A,Да,40691,6ecbd983-3caa-11e3-93f6-b8ca3aeddcd4,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/4000A/4000A.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/4000A/new model/4000A_osn foto.jpg
Колесо A8 (переднее FS985LBJ),Да,40694,bcecd0b4-3f98-11e3-93f6-b8ca3aeddcd4,,
Колодка контактная кольцевая к светильнику L735,Да,40695,a26a990f-4134-11e3-93f6-b8ca3aeddcd4,,
Аккумуляторная батарея FS123-43,Да,40696,beab9bf6-4785-11e3-93f6-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/коляски/FS123GC-43/Батарея аккумуляторная 12V40AH.jpg
"Кресло-коляска для инвалидов ""Armed"" FS619GC",Да,40699,e5c5e77a-4794-11e3-93f6-b8ca3aeddcd4,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS619GC/619.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS619GC/619.jpg
Колесо к концентратору кислорода,Да,40708,85ae3f48-5e50-11e3-93fb-b8ca3aeddcd4,,
"Лампа ультрафиолетовая ""Armed"" ZW30S19W",Да,40713,6cafbb80-7abf-11e3-93ff-b8ca3aeddcd3,,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/ZW30S19W/2.jpg
Колесо переднее для коляски Н 007,Да,40715,07eb52ef-7c59-11e3-93ff-b8ca3aeddcd3,,
Колесо переднее для коляски 5000,Да,40716,23f54eac-7c59-11e3-93ff-b8ca3aeddcd3,,
"Матрац четырехсекционный, с чехлом из водоотталкивающей ткани, Торговой марки ""Armed""",Да,40718,ef6222e6-6615-11e6-942a-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/4 sekcionniu vod/Матрац 4 .jpg,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/4 sekcionniu vod/Матрац 4 .jpg
Крыло с креплением правое к коктейлеру «ПИНГВИН»,Да,40719,6e7785fd-8f45-11e3-9402-b8ca3aeddcd4,,
Колесо переднее для коляски FS111A,Да,40723,d20cd2fb-92ef-11e3-9402-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/коляски/FS111A/колесо для инвалидного кресла А24 (переднее к FS111A).jpg
Заглушка торцевая пластиковая к сегменту ложа 750мм,Да,40724,8a939b90-97bc-11e3-9406-b8ca3aeddcd3,,https://www.armed.ru/images/catalog/zapchasti/Медицинская мебель и сопутствующие товары/Кровати механические/RS105-B/заглушка 750мм.jpg
Колесо к H009B с тормозом,Да,40802,5f226cac-6461-11e2-8101-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/коляски с санитарным оснащением/Н009В/колесо-для-инвалидного-кресла-Н009-В-(-с-тормозом).jpg
Колесо к H009B,Да,40803,5f226cae-6461-11e2-8101-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/коляски с санитарным оснащением/Н009В/колесо-для-инвалидного-кресла-Н009-В.jpg
"Велотренажер Spirit Deluxe, арт.Т70300",Да,41096,4e99b2de-1162-11e3-8ae8-000c290eb93d,https://www.armed.ru/images/catalog/FOTO mini/white/4/trenagor/70300/70300.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/trenagor/70300/70300.jpg
Выключатель сетевой. Модель V* (где *-любое число от 1 до 10),Да,41102,64a8f64d-8f9b-11e2-8b31-00259018c255,,
Колесо переднее для FS901A,Да,41103,1a3031aa-905b-11e2-8b31-00259018c255,,
Уплотнительное кольцо от коктейлера LDPE BAG,Да,41106,ded8c2a4-91fc-11e2-8b31-00259018c255,,
Кровать функциональная механическая Armed с принадлежностями RS104-F,Да,41512,0e5faefa-1169-11e3-8ae8-000c290eb93d,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Krovat/RS104-F.jpg
колесо для инвалидной коляски K035ZL (литое),Да,42478,af2b2017-8d50-11e2-8b31-00259018c255,,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/Koleso/колесо.jpg
"Бахилы медицинские одноразовые ""Armed"" гладкие RLN2203",Да,45746,45b4d37e-5ed8-11e2-8101-00259018c255,,https://www.armed.ru/images/catalog/FOTO mini/white/4/Bahil/2203/бахил.jpg
Кресло-коляска для инвалидов Armed FS7962L,Да,46389,aed57fa7-2c37-49e7-9320-f834459df1b8,,https://www.armed.ru/images/catalog/FOTO mini/white/3/tualet/FS7952L/FS7962L_osn.jpg
"Матрац противопролежневый ""АРМЕД"" М2С1 (Н)",Да,53804,43a6aa3f-da5f-11e7-80ce-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/М2С1 (Н)/М2С1 (1).jpg
"Матрац противопролежневый ""АРМЕД"" М4С1 (Н)",Да,53805,f5196091-da5f-11e7-80ce-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/М4С1 (Н)/М4С1 (Н).jpg
"Матрац противопролежневый ""АРМЕД"" М4С1 (КЗ)",Да,53806,910bfe2c-da60-11e7-80ce-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/М4С1 (КЗ)/М4С1 (КЗ).jpg
"Каталог ""Медицинская техника""",Да,53841,4f864e2a-d385-11e7-80ce-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/Reclama/Katalog medtehnika/МДТХ.зкте.jpg
"Кресло-коляска для инвалидов FS111A ""Armed""",Да,54107,3b33ceca-e4a8-11e7-80cf-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS111A/FS111A copy.jpg
"Матрац противопролежневый ""АРМЕД"" М3Г1 (Н)",Да,54424,682b739f-e0a5-11e7-80cf-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/М3Г1 (Н)/Matras-M3G1_osn.jpg
"Матрац противопролежневый ""АРМЕД"" М3С1 (Н)",Да,54466,c7f96669-00d6-11e8-80d1-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/М3С1 (Н)/Matras_M3S1_osn.jpg
"Матрац противопролежневый ""АРМЕД"" М3П1 (Н)",Да,54467,02a25722-00d7-11e8-80d1-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/М3П1 (Н)/Matras_M3P1_osn.jpg
Кресло гинекологческое SZ-II,Да,54473,50b25b3b-01d2-11e8-80d1-00155d002e05,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Ginekologia/SZ-II/SZ-II.jpg
"Средство реабилитации инвалидов: ходунки ""Armed"" FS918L",Да,40661,843f07c0-bbb1-11e2-8c67-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS918L/918.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/Hodunki/FS918L/918.jpg
"Центрифуга медицинская лабораторная ""Armed"" 80-2S",Да,40663,6ff07194-0c4c-4cf8-8c94-248a34ee4e4d,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/centrifugi/80-2S/80-2S.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/centrifugi/80-2S/80-2S.jpg
